"Libellé";"Chômeurs au sens du BIT - Ensemble (en milliers) - France métropolitaine - Données CVS";"Codes"
"idBank";"001688358";""
"Période";"";""
"2019-T1";"2441";"P"
"2018-T4";"2460";"A"
"2018-T3";"2560";"A"
"2018-T2";"2544";"A"
"2018-T1";"2594";"A"
"2017-T4";"2500";"A"
"2017-T3";"2694";"A"
"2017-T2";"2651";"A"
"2017-T1";"2672";"A"
"2016-T4";"2801";"A"
"2016-T3";"2782";"A"
"2016-T2";"2794";"A"
"2016-T1";"2851";"A"
"2015-T4";"2847";"A"
"2015-T3";"2902";"A"
"2015-T2";"2919";"A"
"2015-T1";"2859";"A"
"2014-T4";"2893";"A"
"2014-T3";"2846";"A"
"2014-T2";"2816";"A"
"2014-T1";"2802";"A"
"2013-T4";"2792";"A"
"2013-T3";"2842";"A"
"2013-T2";"2884";"A"
"2013-T1";"2836";"A"
"2012-T4";"2786";"A"
"2012-T3";"2678";"A"
"2012-T2";"2660";"A"
"2012-T1";"2582";"A"
"2011-T4";"2540";"A"
"2011-T3";"2496";"A"
"2011-T2";"2454";"A"
"2011-T1";"2470";"A"
"2010-T4";"2479";"A"
"2010-T3";"2493";"A"
"2010-T2";"2508";"A"
"2010-T1";"2537";"A"
"2009-T4";"2572";"A"
"2009-T3";"2471";"A"
"2009-T2";"2488";"A"
"2009-T1";"2307";"A"
"2008-T4";"2070";"A"
"2008-T3";"1967";"A"
"2008-T2";"1938";"A"
"2008-T1";"1901";"A"
"2007-T4";"1982";"A"
"2007-T3";"2115";"A"
"2007-T2";"2157";"A"
"2007-T1";"2238";"A"
"2006-T4";"2203";"A"
"2006-T3";"2337";"A"
"2006-T2";"2350";"A"
"2006-T1";"2398";"A"
"2005-T4";"2372";"A"
"2005-T3";"2349";"A"
"2005-T2";"2309";"A"
"2005-T1";"2254";"A"
"2004-T4";"2315";"A"
"2004-T3";"2299";"A"
"2004-T2";"2266";"A"
"2004-T1";"2316";"A"
"2003-T4";"2260";"A"
"2003-T3";"2161";"A"
"2003-T2";"2187";"A"
"2003-T1";"2143";"A"
"2002-T4";"2045";"A"
"2002-T3";"2017";"A"
"2002-T2";"1998";"A"
"2002-T1";"1984";"A"
"2001-T4";"1974";"A"
"2001-T3";"1944";"A"
"2001-T2";"1933";"A"
"2001-T1";"1958";"A"
"2000-T4";"2017";"A"
"2000-T3";"2091";"A"
"2000-T2";"2169";"A"
"2000-T1";"2265";"A"
"1999-T4";"2363";"A"
"1999-T3";"2461";"A"
"1999-T2";"2537";"A"
"1999-T1";"2547";"A"
"1998-T4";"2528";"A"
"1998-T3";"2517";"A"
"1998-T2";"2534";"A"
"1998-T1";"2558";"A"
"1997-T4";"2596";"A"
"1997-T3";"2627";"A"
"1997-T2";"2646";"A"
"1997-T1";"2644";"A"
"1996-T4";"2620";"A"
"1996-T3";"2615";"A"
"1996-T2";"2611";"A"
"1996-T1";"2541";"A"
"1995-T4";"2441";"A"
"1995-T3";"2404";"A"
"1995-T2";"2441";"A"
"1995-T1";"2488";"A"
"1994-T4";"2525";"A"
"1994-T3";"2583";"A"
"1994-T2";"2622";"A"
"1994-T1";"2598";"A"
"1993-T4";"2538";"A"
"1993-T3";"2467";"A"
"1993-T2";"2386";"A"
"1993-T1";"2301";"A"
"1992-T4";"2237";"A"
"1992-T3";"2190";"A"
"1992-T2";"2135";"A"
"1992-T1";"2080";"A"
"1991-T4";"2014";"A"
"1991-T3";"1960";"A"
"1991-T2";"1896";"A"
"1991-T1";"1861";"A"
"1990-T4";"1873";"A"
"1990-T3";"1885";"A"
"1990-T2";"1897";"A"
"1990-T1";"1906";"A"
"1989-T4";"1912";"A"
"1989-T3";"1931";"A"
"1989-T2";"1951";"A"
"1989-T1";"1985";"A"
"1988-T4";"2033";"A"
"1988-T3";"2079";"A"
"1988-T2";"2077";"A"
"1988-T1";"2109";"A"
"1987-T4";"2127";"A"
"1987-T3";"2142";"A"
"1987-T2";"2166";"A"
"1987-T1";"2160";"A"
"1986-T4";"2136";"A"
"1986-T3";"2125";"A"
"1986-T2";"2109";"A"
"1986-T1";"2074";"A"
"1985-T4";"2086";"A"
"1985-T3";"2090";"A"
"1985-T2";"2069";"A"
"1985-T1";"2072";"A"
"1984-T4";"2036";"A"
"1984-T3";"1987";"A"
"1984-T2";"1933";"A"
"1984-T1";"1842";"A"
"1983-T4";"1737";"A"
"1983-T3";"1666";"A"
"1983-T2";"1623";"A"
"1983-T1";"1614";"A"
"1982-T4";"1623";"A"
"1982-T3";"1607";"A"
"1982-T2";"1567";"A"
"1982-T1";"1538";"A"
"1981-T4";"1525";"A"
"1981-T3";"1487";"A"
"1981-T2";"1424";"A"
"1981-T1";"1349";"A"
"1980-T4";"1272";"A"
"1980-T3";"1216";"A"
"1980-T2";"1197";"A"
"1980-T1";"1190";"A"
"1979-T4";"1173";"A"
"1979-T3";"1150";"A"
"1979-T2";"1119";"A"
"1979-T1";"1089";"A"
"1978-T4";"1068";"A"
"1978-T3";"1019";"A"
"1978-T2";"950";"A"
"1978-T1";"937";"A"
"1977-T4";"976";"A"
"1977-T3";"996";"A"
"1977-T2";"950";"A"
"1977-T1";"872";"A"
"1976-T4";"830";"A"
"1976-T3";"835";"A"
"1976-T2";"840";"A"
"1976-T1";"822";"A"
"1975-T4";"812";"A"
"1975-T3";"790";"A"
"1975-T2";"718";"A"
"1975-T1";"644";"A"
