"Libellé";"Indice de volume des ventes - Commerce de gros d'appareils électroménagers (NAF rév. 2, niv. classe poste 46.43)";"Codes"
"idBank";"010543048";""
"Période";"";""
"2019-04";"99.66";"A"
"2019-03";"102.64";"A"
"2019-02";"93.37";"A"
"2019-01";"101.93";"A"
"2018-12";"106.56";"A"
"2018-11";"134.62";"A"
"2018-10";"125.55";"A"
"2018-09";"104.32";"A"
"2018-08";"93.44";"A"
"2018-07";"94.63";"A"
"2018-06";"107.81";"A"
"2018-05";"98.89";"A"
"2018-04";"96.98";"A"
"2018-03";"102.82";"A"
"2018-02";"87.69";"A"
"2018-01";"97.95";"A"
"2017-12";"113.45";"A"
"2017-11";"130.02";"A"
"2017-10";"117.08";"A"
"2017-09";"108.82";"A"
"2017-08";"93.6";"A"
"2017-07";"92.19";"A"
"2017-06";"107.92";"A"
"2017-05";"98.41";"A"
"2017-04";"89.63";"A"
"2017-03";"102.97";"A"
"2017-02";"86.02";"A"
"2017-01";"93.99";"A"
"2016-12";"116.41";"A"
"2016-11";"123.29";"A"
"2016-10";"114.98";"A"
"2016-09";"106.74";"A"
"2016-08";"90.57";"A"
"2016-07";"87.52";"A"
"2016-06";"104.84";"A"
"2016-05";"101.94";"A"
"2016-04";"101.61";"A"
"2016-03";"106.57";"A"
"2016-02";"96.86";"A"
"2016-01";"97.03";"A"
"2015-12";"115.61";"A"
"2015-11";"121.14";"A"
"2015-10";"118.26";"A"
"2015-09";"108.13";"A"
"2015-08";"87.45";"A"
"2015-07";"92.66";"A"
"2015-06";"97.91";"A"
"2015-05";"88.67";"A"
"2015-04";"91.78";"A"
"2015-03";"97.9";"A"
"2015-02";"85.23";"A"
"2015-01";"95.25";"A"
"2014-12";"111.58";"A"
"2014-11";"117.28";"A"
"2014-10";"117.27";"A"
"2014-09";"104.12";"A"
"2014-08";"84.63";"A"
"2014-07";"94.41";"A"
"2014-06";"95.5";"A"
"2014-05";"88.95";"A"
"2014-04";"96.64";"A"
"2014-03";"94.43";"A"
"2014-02";"87.61";"A"
"2014-01";"97.18";"A"
"2013-12";"107.27";"A"
"2013-11";"118.26";"A"
"2013-10";"118.45";"A"
"2013-09";"100.57";"A"
"2013-08";"83.33";"A"
"2013-07";"94.09";"A"
"2013-06";"86.23";"A"
"2013-05";"86.77";"A"
"2013-04";"91.87";"A"
"2013-03";"90.33";"A"
"2013-02";"80.11";"A"
"2013-01";"92.02";"A"
"2012-12";"100.08";"A"
"2012-11";"116.86";"A"
"2012-10";"115.5";"A"
"2012-09";"98.9";"A"
"2012-08";"82.32";"A"
"2012-07";"89.14";"A"
"2012-06";"88.24";"A"
"2012-05";"87.41";"A"
"2012-04";"85.91";"A"
"2012-03";"88.78";"A"
"2012-02";"79.5";"A"
"2012-01";"88.81";"A"
"2011-12";"106.54";"A"
"2011-11";"119.43";"A"
"2011-10";"109.6";"A"
"2011-09";"105.51";"A"
"2011-08";"81.87";"A"
"2011-07";"86.04";"A"
"2011-06";"91.37";"A"
"2011-05";"92.36";"A"
"2011-04";"87.05";"A"
"2011-03";"95.13";"A"
"2011-02";"79.98";"A"
"2011-01";"95.74";"A"
"2010-12";"116.49";"A"
"2010-11";"130.95";"A"
"2010-10";"117.59";"A"
"2010-09";"110.54";"A"
"2010-08";"85.06";"A"
"2010-07";"93.64";"A"
"2010-06";"94.99";"A"
"2010-05";"96.76";"A"
"2010-04";"91.37";"A"
"2010-03";"82.31";"A"
"2010-02";"81.27";"A"
"2010-01";"87.63";"A"
"2009-12";"107.29";"A"
"2009-11";"122.11";"A"
"2009-10";"114.11";"A"
"2009-09";"101.19";"A"
"2009-08";"78.26";"A"
"2009-07";"86.89";"A"
"2009-06";"84.96";"A"
"2009-05";"86.3";"A"
"2009-04";"81.08";"A"
"2009-03";"70.93";"A"
"2009-02";"72.91";"A"
"2009-01";"81.76";"A"
"2008-12";"97.37";"A"
"2008-11";"108.69";"A"
"2008-10";"114.34";"A"
"2008-09";"94.21";"A"
"2008-08";"68.65";"A"
"2008-07";"80.38";"A"
"2008-06";"77.14";"A"
"2008-05";"77.57";"A"
"2008-04";"81.83";"A"
"2008-03";"68.02";"A"
"2008-02";"70.12";"A"
"2008-01";"79.97";"A"
"2007-12";"82.88";"A"
"2007-11";"105.8";"A"
"2007-10";"101.31";"A"
"2007-09";"83.42";"A"
"2007-08";"65.26";"A"
"2007-07";"72.77";"A"
"2007-06";"70.66";"A"
"2007-05";"71.95";"A"
"2007-04";"68.43";"A"
"2007-03";"62.98";"A"
"2007-02";"59.85";"A"
"2007-01";"69.13";"A"
"2006-12";"76.26";"A"
"2006-11";"93.4";"A"
"2006-10";"83.86";"A"
"2006-09";"72.26";"A"
"2006-08";"53.74";"A"
"2006-07";"58.71";"A"
"2006-06";"55.71";"A"
"2006-05";"63.4";"A"
"2006-04";"57.76";"A"
"2006-03";"58.22";"A"
"2006-02";"52.83";"A"
"2006-01";"55.98";"A"
"2005-12";"66.27";"A"
"2005-11";"82.89";"A"
"2005-10";"70.67";"A"
"2005-09";"66.36";"A"
"2005-08";"47.63";"A"
"2005-07";"53.14";"A"
"2005-06";"47.93";"A"
"2005-05";"53.33";"A"
"2005-04";"52.08";"A"
"2005-03";"49.79";"A"
"2005-02";"44.86";"A"
"2005-01";"48.25";"A"
